,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades, taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
0,2017-08-17 01:00:00,301.13000000,312.18000000,298.00000000,302.00000000,7030.71034000,2017-08-18 00:59:59.999,2154655.30035660,4522,6224.58999000,1908705.36853020,50579.87228839
1,2017-08-18 01:00:00,302.00000000,311.79000000,283.94000000,293.96000000,9537.84646000,2017-08-19 00:59:59.999,2858946.50935390,5658,7452.43542000,2240813.26122640,55329.57432378
2,2017-08-19 01:00:00,293.31000000,299.90000000,278.00000000,290.91000000,2146.19773000,2017-08-20 00:59:59.999,620022.58986170,1795,1537.97550000,444713.61220860,58005.17104565
3,2017-08-20 01:00:00,289.41000000,300.53000000,282.85000000,299.10000000,2510.13871000,2017-08-21 00:59:59.999,742847.89455990,2038,2186.68739000,647506.06202050,60299.06615403
4,2017-08-21 01:00:00,299.10000000,346.52000000,294.60000000,323.29000000,5219.44542000,2017-08-22 00:59:59.999,1689472.34121400,3925,4004.19967000,1297977.42311420,66203.84022245
5,2017-08-22 01:00:00,321.04000000,330.41000000,144.21000000,309.80000000,7956.35088000,2017-08-23 00:59:59.999,2454425.80331370,6577,4433.78132000,1364472.48833300,66821.52067468
6,2017-08-23 01:00:00,312.25000000,324.99000000,309.41000000,315.74000000,8665.72569000,2017-08-24 00:59:59.999,2753464.94504080,8540,2282.23633000,728206.91761490,76587.70953099
7,2017-08-24 01:00:00,315.74000000,328.04000000,314.01000000,323.42000000,6753.27192000,2017-08-25 00:59:59.999,2159417.11415370,6495,1901.90029000,610929.14716790,102226.34289434
8,2017-08-25 01:00:00,323.42000000,338.28000000,323.42000000,327.24000000,7125.96962000,2017-08-26 00:59:59.999,2354162.03829400,7452,2595.82561000,859314.68351840,106332.85796088
9,2017-08-26 01:00:00,327.24000000,335.44000000,323.41000000,330.79000000,4877.68521000,2017-08-27 00:59:59.999,1601994.37731660,4400,941.99655000,311132.26310030,92462.65806951
10,2017-08-27 01:00:00,332.18000000,348.13000000,330.73000000,348.13000000,4635.43715000,2017-08-28 00:59:59.999,1554477.35816030,4973,1166.20029000,392130.11519860,88406.05374074
11,2017-08-28 01:00:00,348.11000000,351.00000000,331.95000000,346.00000000,4279.18170000,2017-08-29 00:59:59.999,1463758.16910410,4526,1114.26279000,383473.98891030,82902.92984582
12,2017-08-29 01:00:00,347.00000000,377.60000000,346.00000000,374.70000000,3032.13425000,2017-08-30 00:59:59.999,1102069.62058090,3265,923.16784000,334768.81046930,85024.54473430
13,2017-08-30 01:00:00,374.70000000,393.71000000,362.05000000,385.93000000,4446.59608000,2017-08-31 00:59:59.999,1679526.21251150,4812,1285.37799000,487837.74475770,84593.83335425
14,2017-08-31 01:00:00,384.64000000,389.36000000,377.78000000,384.79000000,4435.86855000,2017-09-01 00:59:59.999,1704441.39426660,4574,1432.19381000,550808.61088400,82026.24194321
15,2017-09-01 01:00:00,386.44000000,394.39000000,383.18000000,388.46000000,4198.68434000,2017-09-02 00:59:59.999,1635227.61376610,4124,1564.05531000,609630.94977130,84919.76768269
16,2017-09-02 01:00:00,388.58000000,394.32000000,320.08000000,343.14000000,8240.32724000,2017-09-03 00:59:59.999,2904008.46138610,8217,2460.66776000,868487.28339190,87519.78442451
17,2017-09-03 01:00:00,343.56000000,367.28000000,320.08000000,341.77000000,5253.62211000,2017-09-04 00:59:59.999,1801702.61780290,6153,2240.91753000,767938.25217760,88087.12404857
18,2017-09-04 01:00:00,339.29000000,344.55000000,267.94000000,283.77000000,6737.81061000,2017-09-05 00:59:59.999,2002446.18180200,7403,2954.16805000,877011.10666470,77119.81932553
19,2017-09-05 01:00:00,286.81000000,321.52000000,235.55000000,312.09000000,8344.41924000,2017-09-06 00:59:59.999,2397490.91783860,8999,4312.97282000,1251958.99131160,82323.90789166
20,2017-09-06 01:00:00,313.29000000,336.34000000,312.09000000,335.00000000,5486.30988000,2017-09-07 00:59:59.999,1793962.85849940,7089,2183.65363000,713126.10171990,84763.06977404
21,2017-09-07 01:00:00,335.01000000,342.50000000,320.17000000,334.49000000,3103.89745000,2017-09-08 00:59:59.999,1027135.68695240,2635,1321.09841000,438034.17329640,82526.80962161
22,2017-09-08 01:00:00,334.49000000,335.10000000,272.00000000,302.99000000,4915.75693000,2017-09-09 00:59:59.999,1494309.88661630,3227,2306.94838000,698362.84939540,79848.59094656
23,2017-09-09 01:00:00,300.01000000,307.00000000,281.66000000,296.74000000,2740.58822000,2017-09-10 00:59:59.999,813750.35893590,1956,1755.91508000,520754.91457350,74712.70835115
24,2017-09-10 01:00:00,296.72000000,302.78000000,261.03000000,293.50000000,4156.45099000,2017-09-11 00:59:59.999,1181903.77219990,2494,2282.40311000,651266.45803050,72108.07698301
25,2017-09-11 01:00:00,293.51000000,304.98000000,285.21000000,297.30000000,4829.64647000,2017-09-12 00:59:59.999,1436811.81615690,3490,2412.24221000,718382.75216320,70010.65222023
26,2017-09-12 01:00:00,297.78000000,316.46000000,286.01000000,293.96000000,5176.31402000,2017-09-13 00:59:59.999,1573452.41245190,5279,2207.60465000,671349.25426970,70070.60153339
27,2017-09-13 01:00:00,293.93000000,294.50000000,257.05000000,276.91000000,6451.22836000,2017-09-14 00:59:59.999,1761080.89760690,4527,3264.55673000,890399.36959740,67083.54240680
28,2017-09-14 01:00:00,275.76000000,283.77000000,215.00000000,215.21000000,12601.95676000,2017-09-15 00:59:59.999,3110767.78056470,8166,4455.23882000,1100931.14542670,67291.11800887
